[00017842.9] STATE    ph=15.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.00s work=1ms
[00018345.2] STATE    ph=16.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.01s work=2ms
[00018861.8] STATE    ph=16.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.01s work=2ms
[00019362.4] STATE    ph=17.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.01s work=2ms
[00019863.6] STATE    ph=17.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=3ms
[00020378.8] STATE    ph=18.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=27(need~30) present=17ms atraso=0.00s work=1ms
[00020896.9] STATE    ph=18.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=0.00s work=3ms
[00021413.1] STATE    ph=19.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=31(need~30) present=17ms atraso=-0.01s work=2ms
[00021930.5] STATE    ph=19.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.01s work=2ms
[00022449.6] STATE    ph=20.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=5ms
[00022962.5] STATE    ph=20.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=27(need~30) present=17ms atraso=0.00s work=1ms
[00023464.3] STATE    ph=21.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=3ms
[00023981.3] STATE    ph=21.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=0.00s work=3ms
[00024497.7] STATE    ph=22.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=31(need~30) present=17ms atraso=-0.02s work=2ms
[00025014.6] STATE    ph=22.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=2ms
[00025531.6] STATE    ph=23.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=2ms
[00026049.1] STATE    ph=23.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=2ms
[00026549.2] STATE    ph=24.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
